,Identifier,Time_h,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Std_group,Correction_of_d34S_by_true_value
12,SUP_05,0.0,a,3,24.327,23.223,1.104,1042,4948,-8.866,sample,23.30766666666667,-9.504324280518093,-9.125123112731334,low,-8.908876806113273
17,SUP_05,70.0,a,3,11.131,10.625,0.505,474,2254,-8.121,sample,10.111666666666666,-9.51725312894896,-9.013856829174639,low,-8.794272534049878
22,SUP_05,166.0,a,3,19.05,18.187,0.863,816,3868,-8.999,sample,18.03066666666667,-9.831660331780423,-9.403043495280302,low,-9.195134800138712
27,SUP_05,178.0,a,3,11.799,11.264,0.535,504,2392,-9.812,sample,10.779666666666666,-11.281631610954781,-10.784794913222058,low,-10.61833876061872
32,SUP_05,190.0,a,3,21.61,21.538,0.073,1186,5700,-8.567,sample,20.590666666666667,-9.274751192557577,-8.92703611457048,low,-8.704847198007595
37,SUP_05,286.0,a,3,24.631,24.42,0.211,1190,5607,-8.273,sample,23.611666666666668,-8.877505606926894,-8.530665142545343,low,-8.296585096821703
42,SUP_05,0.0,b,3,16.274,15.535,0.738,1185,5238,-7.961,sample,15.254666666666667,-8.875825160970779,-8.527891429582297,low,-8.293728172469766
47,SUP_05,70.0,b,3,30.852,29.454,1.398,1286,6100,-8.731,sample,29.832666666666668,-9.225097283365736,-8.899247545517296,low,-8.676224971882815
72,SUP_05,166.0,b,3,21.512,20.536,0.976,940,4467,-8.282,sample,20.49266666666667,-8.978959508550483,-8.577455693822296,low,-8.344779364636965
77,SUP_05,178.0,b,3,15.912,15.19,0.722,691,3283,-8.181,sample,14.892666666666667,-9.13312002924631,-8.677171517572871,low,-8.447486663100058
82,SUP_05,190.0,b,3,19.431,18.546,0.885,849,4049,-8.496,sample,18.41166666666667,-9.283581943815816,-8.862180669561452,low,-8.638046089648295
87,SUP_05,286.0,b,3,14.142,13.5,0.642,620,2948,-7.366,sample,13.122666666666666,-8.383236046196572,-7.911763143024688,low,-7.659116037315428
92,SUP_05,0.0,c,3,20.536,19.604,0.932,897,4260,-8.363,sample,19.51666666666667,-9.099043973811556,-8.688138062823747,low,-8.45878220470846
97,SUP_05,70.0,c,3,29.129,27.808,1.321,1274,6052,-8.824,sample,28.10966666666667,-9.351755726578835,-9.023282147913756,low,-8.803980612351168
102,SUP_05,166.0,c,3,19.05,18.185,0.865,831,3946,-8.274,sample,18.03066666666667,-9.065673679410386,-8.640336643931064,low,-8.409546743248997
107,SUP_05,178.0,c,3,13.127,12.531,0.596,1192,5685,-8.319,sample,12.107666666666667,-9.501744340133435,-9.155341182554658,low,-8.940001418031297
112,SUP_05,190.0,c,3,29.054,28.642,0.411,1194,5653,-8.115,sample,28.034666666666666,-8.618388550683282,-8.272422699907278,low,-8.030595380904495
117,SUP_05,286.0,c,3,26.217,25.934,0.283,1190,5562,-7.936,sample,25.197666666666667,-8.488823788798786,-8.141983324417236,low,-7.896242824149754
