,treatment,d34S_corrected,replicate,time_h,ID,f_R,corrected_conc_dil,xaxis_linreg,d34S_sulfate
0,b,-1.325975920009116,7.0,52,b_52_7.0,0.9202609290038228,150.8833333,-0.9590263586753046,-1.3268558039686829
1,b,-1.5409143823001197,4.0,61,b_61_4.0,0.5759815665034214,802.3333332999999,-0.7493949966271286,-1.5421028118692486
2,b,-1.1507945807307876,5.0,61,b_61_5.0,0.6420910960783299,677.24,-0.7947901358506025,-1.1514572532630294
3,b,-1.0877092955149457,7.0,69,b_69_7.0,0.7936371691341422,390.4825,-0.8888833110553914,-1.088301280581419
4,b,-1.8916936257083523,5.0,148,b_148_5.0,0.15938829979695524,1590.616667,-0.34820187856302576,-1.8934851377796744
5,b,-1.4493836605505726,8.0,163,b_163_8.0,0.37516515057765953,1182.320833,-0.5886479728180162,-1.4504350330658804
6,b,-1.8815575013064807,9.0,163,b_163_9.0,0.3982950298765282,1138.554167,-0.6093607231596837,-1.8833298541599786
7,b,-1.5452633581274653,8.0,188,b_188_8.0,0.33664456427334555,1255.21,-0.5525156083116695,-1.5464585089242537
8,b,-1.6600816716455031,9.0,216,b_216_9.0,0.3390249079277574,1250.705882,-0.5548121903658205,-1.6614611341154495
9,b,-1.998948972703988,9.0,244,b_244_9.0,0.32062628585230457,1285.52,-0.5368263096998951,-2.0009495376645248
10,b,-1.961381025812736,6.0,316,b_316_6.0,0.04215812012777931,1812.4411760000003,-0.1393616603184827,-1.9633070524371081
11,b,-1.985105002255856,4.0,397,b_397_4.0,0.09867456789556395,1705.5,-0.25354127392840364,-1.9870779346085314
12,b,-2.5311329356075016,6.0,397,b_397_6.0,0.0001,1892.213333,-0.0009211261498125995,-2.5343416682057804
13,b,-1.6689828305460708,9.0,671,b_671_9.0,0.23166087425513338,1453.861538,-0.44095055441619957,-1.6703771339853521
14,d,-1.2879326071740904,1.0,76,d_76_1.0,0.7321646529309344,507.62833330000007,-0.8522109818765519,-1.288762705191143
15,d,-1.1543078957233015,1.0,92,d_92_1.0,0.5999432807471112,758.2275,-0.7661991473514145,-1.1549746222035588
16,d,-1.1276053098138363,2.0,92,d_92_2.0,0.6045335830739197,749.5275,-0.7693714655121178,-1.1282415350000787
17,d,-1.2536896397170485,1.0,163,d_163_1.0,0.4276983416873318,1084.683333,-0.6347353383981381,-1.2544761660153985
18,d,-1.3134758991816324,2.0,163,d_163_2.0,0.4819131535904606,981.93,-0.6790221389344178,-1.3143392647398684
19,d,-1.4618966826685404,2.0,188,d_188_2.0,0.4450043090803567,1051.883333,-0.6492072449522875,-1.4629662961939647
20,d,-1.3825758817351832,3.0,188,d_188_3.0,0.35021940220545567,1231.529167,-0.5654964262590538,-1.3835325216227161
21,d,-1.7660634131258814,2.0,216,d_216_2.0,0.40860813591515854,1120.865,-0.6183780443704912,-1.7676247416564237
22,d,-1.9806761467464309,3.0,244,d_244_3.0,0.26191414657310186,1398.894118,-0.4754141646700963,-1.982640279715021
23,d,-2.2011458211470183,4.0,316,d_316_4.0,0.08592152113121931,1732.452941,-0.23070118568224937,-2.2035719033709915
24,d,-1.959388989663041,5.0,316,d_316_5.0,0.04394772226032817,1812.005882,-0.14363842365065824,-1.9613111034589539
25,d,-2.1887905902551177,5.0,397,d_397_5.0,0.0001,1895.3,-0.0009211261498125995,-2.1911894934828826
26,d,-1.6251118902746966,3.0,671,d_671_3.0,0.19695035086793644,1522.02,-0.39848799018167547,-1.6264338169826535
