,treatment,d34S_raw,Area_All,d34S_corrected,replicate,Compound,time_h,Identifier,f_R,minus_ln_f_R,d34S_sulfide
0,a,-2.562,66.163,-2.476220474668748,1,Sulfide,0,a_0_1,1.0,0.0,-2.4792913791268405
1,a,-2.239,60.341,-2.13277254078492,1,Sulfide,0,a_0_1,1.0,0.0,-2.1350501391159575
2,a,-2.155,16.438,-2.797220331576832,1,Sulfide,28,a_28_1,0.4018650069929921,0.9116390502577563,-2.801139863270666
3,a,-1.973,22.924,-1.801473594474173,1,Sulfide,28,a_28_1,0.4018650069929921,0.9116390502577563,-1.803098199445089
4,a,-2.402,17.07,-3.037666038487494,1,Sulfide,43,a_43_1,0.3244507675283546,1.1256214722886788,-3.042289110574738
5,a,-4.039,14.833,-5.194375863332354,1,Sulfide,70,a_70_1,0.08329364195368731,2.485383059808987,-5.20791353381874
6,a,-5.06,16.35,-5.2433741456097644,1,Sulfide,70,a_70_1,0.08329364195368731,2.485383059808987,-5.257168873567433
7,aa,-2.348,46.91,-2.249589765081925,1,Sulfide,0,aa_0_1,1.0,0.0,-2.252123893350183
8,aa,0.033,28.754,0.4974353895972233,1,Sulfide,28,aa_28_1,0.4534128138391807,0.790952279642467,0.49731170962731824
9,aa,-2.179,22.083,-2.047620151729298,1,Sulfide,43,aa_43_1,0.26633986435085133,1.3229821002164779,-2.0497193919928303
10,aa,-5.295,15.059,-5.630946932621797,1,Sulfide,70,aa_70_1,0.04221754843806141,3.1649193046130755,-5.646860481316296
11,aaa,-2.393,90.012,-2.295777521659212,1,Sulfide,0,aaa_0_1,1.0,0.0,-2.298416859202002
12,aaa,-0.774,12.25,-1.500456293270204,1,Sulfide,18,aaa_18_1,0.7801508361740788,0.24826799828358825,-1.5015831051098927
13,aaa,-2.859,14.845,-2.5596333535266744,1,Sulfide,28,aaa_28_1,0.5552456032913874,0.5883447346695907,-2.56291481573507
14,aaa,-3.473,29.541,-4.148388991586022,1,Sulfide,70,aaa_70_1,0.22939542496131932,1.472308017984785,-4.1570174282073635
15,b,-2.124,34.012,-1.9978163866684355,1,Sulfide,0,b_0_1,1.0,0.0,-1.9998146837565072
16,b,-2.893,9.867,-2.7569170367624904,1,Sulfide,28,b_28_1,0.4176373943327526,0.8731417006067169,-2.7607243317439196
17,b,-2.689,20.546,-2.3032187360453737,1,Sulfide,43,b_43_1,0.3249820901744654,1.1239852053263457,-2.3058752240842444
18,b,-5.379,8.961,-6.909465111333589,1,Sulfide,70,b_70_1,0.013517609172776845,4.303762060337781,-6.933445992609996
19,e,-2.055,40.525,-2.404495592601919,1,Sulfide,0,e_0_1,1.0,0.0,-2.4073910344453173
20,e,-2.184,39.028,-2.0680831487851448,1,Sulfide,0,e_0_1,1.0,0.0,-2.0702245856960744
21,e,-1.955,11.092,-1.3500135775285018,2,Sulfide,0,e_0_2,1.0,0.0,-1.350925666839317
22,e,-2.246,33.387,-2.7026379605755007,1,Sulfide,28,e_28_1,0.4924861352948305,0.708288970451883,-2.706296680164887
23,e,-2.346,14.174,-1.9093649474838728,1,Sulfide,28,e_28_1,0.4924861352948305,0.708288970451883,-1.911190108370699
24,e,-2.401,31.536,-2.906195877359197,1,Sulfide,70,e_70_1,0.41935592563610835,0.8690352551254793,-2.910427064358562
25,e,-3.22,30.664,-3.8374786357247,2,Sulfide,70,e_70_2,0.5360713572871292,0.6234879975052174,-3.8448606484604277
26,e,-2.463,75.749,-2.6522180661306245,1,Sulfide,121,e_121_1,0.3975447514012826,0.9224477690830527,-2.6557414276599944
27,e,-2.442,52.215,-2.729192799198285,2,Sulfide,144,e_144_2,0.376265683665208,0.9774597796277907,-2.7329238358910097
28,e,-3.227,47.343,-3.604925003222261,1,Sulfide,170,e_170_1,0.30594844924255016,1.1843386577494495,-3.6114384036199048
29,e,-2.802,41.71,-3.2024223186614096,2,Sulfide,170,e_170_2,0.3089096638731526,1.1747063947520342,-3.2075610468663425
30,e,-3.221,22.666,-4.099901602124685,2,Sulfide,236,e_236_2,0.24177237831036902,1.4197585809479045,-4.108329241580613
31,e,-6.901,24.763,-8.240162803688527,1,Sulfide,354,e_354_1,0.017304156457193267,4.05680854869442,-8.27430060859589
32,e,-7.992,18.7,-8.58758975986099,1,Sulfide,354,e_354_1,0.017304156457193267,4.05680854869442,-8.624675579984038
33,full,-2.003,23.129,-1.8382121209054276,1,Sulfide,0,full_0_1,1.0,0.0,-1.8399037061189485
34,full,-2.042,14.197,-2.863320815641911,1,Sulfide,7,full_7_1,0.8004018384356139,0.22264137937912729,-2.867427960611233
35,full,-2.14,18.472,-2.6473160387331065,1,Sulfide,18,full_18_1,0.5295642558754438,0.6357007693193913,-2.6508263765219713
36,full,-2.105,32.366,-1.9747912389574895,1,Sulfide,18,full_18_1,0.5295642558754438,0.6357007693193913,-1.9767437100816012
37,full,-3.483,15.332,-4.466685402438119,1,Sulfide,43,full_43_1,0.28829875582853026,1.2437579898915592,-4.476690846912044
38,full,-4.011,22.945,-5.005580611820283,1,Sulfide,70,full_70_1,0.07406373921817697,2.6028292157328927,-5.018150494368652
39,full,-4.126,15.372,-4.139712795869324,2,Sulfide,70,full_70_2,0.06186890641565157,2.7827375451142577,-4.148305128276342
