,treatment,replicate,time_h,uncorrected_conc_uM,dil_corrected_conc_mM,ID,max_conc,f_R
0,high,4.0,54.5,26.49260001,0.883086667,high_54_4.0,3.1921,0.7233524429059239
1,high,5.0,54.5,53.7168,1.074336,high_54_5.0,3.1921,0.6634391153159362
2,high,6.0,54.5,47.6872,0.953744,high_54_6.0,3.1921,0.701217380407882
3,high,4.0,83.0,77.4963,1.549926,high_83_4.0,3.1921,0.5144494220105886
4,high,5.0,83.0,83.80799999999999,1.6761599999999999,high_83_5.0,3.1921,0.47490366843144016
5,high,6.0,83.0,83.2532,1.6650639999999999,high_83_6.0,3.1921,0.47837975000783184
6,high,4.0,101.5,109.7196,2.1943919999999997,high_101_4.0,3.1921,0.3125553710723349
7,high,5.0,101.5,109.90069,2.1980138,high_101_5.0,3.1921,0.3114207574950659
8,high,6.0,101.5,109.45407,2.1890814,high_101_6.0,3.1921,0.31421904075686846
9,high,4.0,151.0,137.488,2.7497599999999998,high_151_4.0,3.1921,0.13857335296513273
10,high,5.0,151.0,141.061,2.8212200000000003,high_151_5.0,3.1921,0.116186836251997
11,high,6.0,151.0,137.845,2.7569,high_151_6.0,3.1921,0.13633658093418122
12,high,4.0,295.0,159.605,3.1921,high_295_4.0,3.1921,0.0
13,high,5.0,295.0,151.344,3.02688,high_295_5.0,3.1921,0.051759030105573145
14,high,6.0,295.0,149.745,2.9949,high_295_6.0,3.1921,0.06177751323580094
15,medium,4.0,54.5,39.1484,0.782968,medium_54_4.0,3.12688,0.7496008801105255
16,medium,5.0,54.5,39.7963,0.795926,medium_54_5.0,3.12688,0.7454568131811902
17,medium,6.0,54.5,35.9403,0.7188060000000001,medium_54_6.0,3.12688,0.7701203755820498
18,medium,4.0,83.0,79.4953,1.589906,medium_83_4.0,3.12688,0.49153597195926924
19,medium,5.0,83.0,74.9792,1.499584,medium_83_5.0,3.12688,0.5204216343447782
20,medium,6.0,83.0,71.5717,1.431434,medium_83_6.0,3.12688,0.5422165225400399
21,medium,4.0,101.5,104.9307,2.098614,medium_101_4.0,3.12688,0.3288472854730594
22,medium,5.0,101.5,106.1957,2.123914,medium_101_5.0,3.12688,0.32075615309829597
23,medium,6.0,101.5,102.5538,2.0510759999999997,medium_101_6.0,3.12688,0.34405029933991715
24,medium,4.0,151.0,133.63299999999998,2.67266,medium_151_4.0,3.12688,0.1452630097733203
25,medium,5.0,151.0,130.389,2.60778,medium_151_5.0,3.12688,0.166012127104334
26,medium,6.0,151.0,135.654,2.7130799999999997,medium_151_6.0,3.12688,0.13233638642992385
27,medium,4.0,295.0,149.296,2.98592,medium_295_4.0,3.12688,0.04508007982397777
28,medium,5.0,295.0,151.215,3.0243,medium_295_5.0,3.12688,0.032805863992222184
29,medium,6.0,295.0,156.344,3.12688,medium_295_6.0,3.12688,0.0
30,lower,4.0,54.5,40.3826,0.807652,lower_54_4.0,3.18666,0.7465521894397269
31,lower,5.0,54.5,44.0323,0.8806459999999999,lower_54_5.0,3.18666,0.7236460745733777
32,lower,6.0,54.5,44.4929,0.889858,lower_54_6.0,3.18666,0.7207552735465974
33,lower,4.0,83.0,67.7912,1.355824,lower_83_4.0,3.18666,0.5745313274713963
34,lower,5.0,83.0,69.892,1.39784,lower_83_5.0,3.18666,0.5613463626492943
35,lower,6.0,83.0,71.8154,1.436308,lower_83_6.0,3.18666,0.5492747892778018
36,lower,4.0,101.5,96.9523,1.9390459999999998,lower_101_4.0,3.18666,0.3915114885177584
37,lower,5.0,101.5,97.4911,1.9498220000000002,lower_101_5.0,3.18666,0.38812989148512855
38,lower,6.0,101.5,95.5321,1.9106419999999997,lower_101_6.0,3.18666,0.400424896286394
39,lower,4.0,151.0,120.84899999999999,2.41698,lower_151_4.0,3.18666,0.24153188604997078
40,lower,5.0,151.0,122.96600000000001,2.45932,lower_151_5.0,3.18666,0.22824524737499452
41,lower,6.0,151.0,121.45100000000001,2.42902,lower_151_6.0,3.18666,0.23775363546785655
42,lower,4.0,295.0,159.333,3.18666,lower_295_4.0,3.18666,0.0
43,lower,5.0,295.0,153.056,3.0611200000000003,lower_295_5.0,3.18666,0.03939547990686154
44,lower,6.0,295.0,156.01,3.1202,lower_295_6.0,3.18666,0.020855692166719897
